tasks,k,method,normalized_accuracy,mean_raw_accuracy
EuroSAT|GTSRB|SUN397,3,task_arithmetic,0.8821519112695584,0.8023333333333333
EuroSAT|GTSRB|SUN397,3,ties,0.7024472172707467,0.6253333333333334
EuroSAT|GTSRB|SVHN,3,weight_averaging,0.8726362949220091,0.8636666666666667
EuroSAT|GTSRB|SVHN,3,task_arithmetic,0.8560896035181749,0.8473333333333333
EuroSAT|GTSRB|SVHN,3,ties,0.645038961038961,0.6383333333333333
EuroSAT|MNIST|RESISC45,3,weight_averaging,0.9210077175972362,0.9086666666666666
EuroSAT|MNIST|RESISC45,3,task_arithmetic,0.9133201409784911,0.9009999999999999
EuroSAT|MNIST|RESISC45,3,ties,0.7931453805862031,0.7816666666666666
EuroSAT|MNIST|SUN397,3,weight_averaging,0.9474665708355011,0.8689999999999999
EuroSAT|MNIST|SUN397,3,task_arithmetic,0.9392379598689115,0.8610000000000001
EuroSAT|MNIST|SUN397,3,ties,0.812774911186322,0.7366666666666667
EuroSAT|MNIST|SVHN,3,weight_averaging,0.9199975572977436,0.9129999999999999
EuroSAT|MNIST|SVHN,3,task_arithmetic,0.9092550576900771,0.9023333333333333
EuroSAT|MNIST|SVHN,3,ties,0.7671926527882968,0.7613333333333333
EuroSAT|RESISC45|SUN397,3,weight_averaging,0.9092144236482472,0.8210000000000001
EuroSAT|RESISC45|SUN397,3,task_arithmetic,0.9038068924539514,0.816
EuroSAT|RESISC45|SUN397,3,ties,0.8001056892453952,0.7126666666666667
EuroSAT|RESISC45|SVHN,3,weight_averaging,0.8807477324263039,0.8636666666666667
EuroSAT|RESISC45|SVHN,3,task_arithmetic,0.8658270975056691,0.8490000000000001
EuroSAT|RESISC45|SVHN,3,ties,0.7286519274376418,0.7133333333333334
EuroSAT|SUN397|SVHN,3,weight_averaging,0.9124665502564663,0.8283333333333333
EuroSAT|SUN397|SVHN,3,task_arithmetic,0.8992861144457782,0.8156666666666667
EuroSAT|SUN397|SVHN,3,ties,0.746227145403616,0.666
GTSRB|MNIST|RESISC45,3,weight_averaging,0.8979147670283578,0.8826666666666666
GTSRB|MNIST|RESISC45,3,task_arithmetic,0.8843825563390508,0.8693333333333332
GTSRB|MNIST|RESISC45,3,ties,0.7294892358050582,0.7163333333333334
GTSRB|MNIST|SUN397,3,weight_averaging,0.9311061924136442,0.8503333333333334
GTSRB|MNIST|SUN397,3,task_arithmetic,0.9158599287662949,0.8353333333333334
GTSRB|MNIST|SUN397,3,ties,0.7683627630763156,0.6906666666666667
GTSRB|MNIST|SVHN,3,weight_averaging,0.9338023243095602,0.9236666666666666
GTSRB|MNIST|SVHN,3,task_arithmetic,0.9169391911045444,0.907
GTSRB|MNIST|SVHN,3,ties,0.7533356063517979,0.7453333333333334
GTSRB|RESISC45|SUN397,3,weight_averaging,0.8966589918795802,0.8046666666666668
GTSRB|RESISC45|SUN397,3,task_arithmetic,0.8843038225391165,0.7919999999999999
GTSRB|RESISC45|SUN397,3,ties,0.7337641117052881,0.6456666666666667
GTSRB|RESISC45|SVHN,3,weight_averaging,0.8791658077372363,0.859
GTSRB|RESISC45|SVHN,3,task_arithmetic,0.8612551965230537,0.8413333333333334
GTSRB|RESISC45|SVHN,3,ties,0.6809221036899609,0.664
GTSRB|SUN397|SVHN,3,weight_averaging,0.9223196349246768,0.8356666666666667
GTSRB|SUN397|SVHN,3,task_arithmetic,0.9053340528130445,0.8193333333333334
GTSRB|SUN397|SVHN,3,ties,0.7230542722139361,0.6423333333333333
MNIST|RESISC45|SUN397,3,weight_averaging,0.9348354443902117,0.844
MNIST|RESISC45|SUN397,3,task_arithmetic,0.9260873734542904,0.836
MNIST|RESISC45|SUN397,3,ties,0.8470381677563886,0.7603333333333334
MNIST|RESISC45|SVHN,3,weight_averaging,0.913331043299968,0.895
MNIST|RESISC45|SVHN,3,task_arithmetic,0.9092410380233672,0.891
MNIST|RESISC45|SVHN,3,ties,0.8119036460287893,0.7956666666666666
MNIST|SUN397|SVHN,3,weight_averaging,0.946906513129552,0.8623333333333333
MNIST|SUN397|SVHN,3,task_arithmetic,0.9409542516742269,0.8570000000000001
MNIST|SUN397|SVHN,3,ties,0.8452607942055277,0.7653333333333334
RESISC45|SUN397|SVHN,3,weight_averaging,0.9079243818739616,0.8123333333333332
RESISC45|SUN397|SVHN,3,task_arithmetic,0.8934788688202553,0.7986666666666666
RESISC45|SUN397|SVHN,3,ties,0.7912956849406431,0.701
Cars|DTD|EuroSAT|GTSRB,4,weight_averaging,0.7898581966145641,0.725
Cars|DTD|EuroSAT|GTSRB,4,task_arithmetic,0.8238213694068017,0.75675
Cars|DTD|EuroSAT|GTSRB,4,ties,0.6534461272106828,0.59425
Cars|DTD|EuroSAT|MNIST,4,weight_averaging,0.8490013768276566,0.7847500000000001
Cars|DTD|EuroSAT|MNIST,4,task_arithmetic,0.8675645479903852,0.802
Cars|DTD|EuroSAT|MNIST,4,ties,0.7402456711201945,0.68175
Cars|DTD|EuroSAT|RESISC45,4,weight_averaging,0.823517175875098,0.752
Cars|DTD|EuroSAT|RESISC45,4,task_arithmetic,0.8396897976171316,0.767
Cars|DTD|EuroSAT|RESISC45,4,ties,0.7259370750608818,0.66025
Cars|DTD|EuroSAT|SUN397,4,weight_averaging,0.8440398223678991,0.7225
Cars|DTD|EuroSAT|SUN397,4,task_arithmetic,0.858237660730043,0.73525
Cars|DTD|EuroSAT|SUN397,4,ties,0.7359121263587572,0.62225
Cars|DTD|EuroSAT|SVHN,4,weight_averaging,0.8119713887043571,0.74425
Cars|DTD|EuroSAT|SVHN,4,task_arithmetic,0.8347281127314322,0.76525
Cars|DTD|EuroSAT|SVHN,4,ties,0.6921482291383539,0.6307499999999999
Cars|DTD|GTSRB|MNIST,4,weight_averaging,0.8128786432769278,0.74875
Cars|DTD|GTSRB|MNIST,4,task_arithmetic,0.8406030927787094,0.77475
Cars|DTD|GTSRB|MNIST,4,ties,0.7032593121885882,0.64375
Cars|DTD|GTSRB|RESISC45,4,weight_averaging,0.7794954919794916,0.70675
Cars|DTD|GTSRB|RESISC45,4,task_arithmetic,0.8128772200833106,0.738
Cars|DTD|GTSRB|RESISC45,4,ties,0.6806739101657283,0.6134999999999999
Cars|DTD|GTSRB|SUN397,4,weight_averaging,0.8056013822271476,0.684
Cars|DTD|GTSRB|SUN397,4,task_arithmetic,0.8292975109397437,0.70625
Cars|DTD|GTSRB|SUN397,4,ties,0.7041265265599941,0.58975
