tasks,k,method,normalized_accuracy,mean_raw_accuracy
EuroSAT|MNIST|RESISC45,3,weight_averaging,0.8924104066498747,0.8813333333333334
EuroSAT|MNIST|RESISC45,3,task_arithmetic,0.8708606148012888,0.86
EuroSAT|MNIST|RESISC45,3,ties,0.7454502610974795,0.7356666666666666
EuroSAT|MNIST|SUN397,3,weight_averaging,0.93258950038035,0.8446666666666666
EuroSAT|MNIST|SUN397,3,task_arithmetic,0.9202694324833303,0.8330000000000001
EuroSAT|MNIST|SUN397,3,ties,0.8021344504592592,0.7153333333333333
EuroSAT|MNIST|SVHN,3,weight_averaging,0.8759700912301572,0.8690000000000001
EuroSAT|MNIST|SVHN,3,task_arithmetic,0.8668671687537809,0.86
EuroSAT|MNIST|SVHN,3,ties,0.7153040761747835,0.71
EuroSAT|RESISC45|SUN397,3,weight_averaging,0.8912492668118782,0.7966666666666667
EuroSAT|RESISC45|SUN397,3,task_arithmetic,0.8891632533322699,0.7936666666666667
EuroSAT|RESISC45|SUN397,3,ties,0.7861479557241537,0.6920000000000001
EuroSAT|RESISC45|SVHN,3,weight_averaging,0.8333673640332404,0.8180000000000001
EuroSAT|RESISC45|SVHN,3,task_arithmetic,0.8130449457558725,0.798
EuroSAT|RESISC45|SVHN,3,ties,0.6550976894980057,0.6423333333333333
EuroSAT|SUN397|SVHN,3,weight_averaging,0.8766011492004653,0.7856666666666667
EuroSAT|SUN397|SVHN,3,task_arithmetic,0.858255852349512,0.7676666666666666
EuroSAT|SUN397|SVHN,3,ties,0.7112943627281959,0.6226666666666667
GTSRB|MNIST|RESISC45,3,weight_averaging,0.8463216209123728,0.8326666666666668
GTSRB|MNIST|RESISC45,3,task_arithmetic,0.8311614908674597,0.8176666666666667
GTSRB|MNIST|RESISC45,3,ties,0.6842083133952847,0.6726666666666666
GTSRB|MNIST|SUN397,3,weight_averaging,0.9074790991924334,0.8173333333333334
GTSRB|MNIST|SUN397,3,task_arithmetic,0.89140351281026,0.8016666666666667
GTSRB|MNIST|SUN397,3,ties,0.7439950517144442,0.6566666666666667
GTSRB|MNIST|SVHN,3,weight_averaging,0.9063405576557816,0.8959999999999999
GTSRB|MNIST|SVHN,3,task_arithmetic,0.8924906601707682,0.8823333333333334
GTSRB|MNIST|SVHN,3,ties,0.7053275514112913,0.6976666666666667
GTSRB|RESISC45|SUN397,3,weight_averaging,0.8662841947914686,0.7666666666666666
GTSRB|RESISC45|SUN397,3,task_arithmetic,0.8501036919006778,0.7506666666666667
GTSRB|RESISC45|SUN397,3,ties,0.7146836520722711,0.619
GTSRB|RESISC45|SVHN,3,weight_averaging,0.8471959902949203,0.8283333333333333
GTSRB|RESISC45|SVHN,3,task_arithmetic,0.8251635769465614,0.8066666666666666
GTSRB|RESISC45|SVHN,3,ties,0.6252302648006638,0.6103333333333333
GTSRB|SUN397|SVHN,3,weight_averaging,0.9111053695193604,0.8153333333333334
GTSRB|SUN397|SVHN,3,task_arithmetic,0.8916024047125282,0.7959999999999999
GTSRB|SUN397|SVHN,3,ties,0.6898763970213312,0.5993333333333334
MNIST|RESISC45|SUN397,3,weight_averaging,0.9234423887880602,0.8250000000000001
MNIST|RESISC45|SUN397,3,task_arithmetic,0.9147383712158307,0.8163333333333332
MNIST|RESISC45|SUN397,3,ties,0.8129192775364217,0.719
MNIST|RESISC45|SVHN,3,weight_averaging,0.8846776901681985,0.8683333333333333
MNIST|RESISC45|SVHN,3,task_arithmetic,0.8741231074599586,0.858
MNIST|RESISC45|SVHN,3,ties,0.7409634299913317,0.7273333333333333
MNIST|SUN397|SVHN,3,weight_averaging,0.9380655609855838,0.8453333333333334
MNIST|SUN397|SVHN,3,task_arithmetic,0.9284446812079038,0.836
MNIST|SUN397|SVHN,3,ties,0.8103837520755599,0.7210000000000001
RESISC45|SUN397|SVHN,3,weight_averaging,0.8768527204100502,0.7753333333333333
RESISC45|SUN397|SVHN,3,task_arithmetic,0.8650437355657973,0.7633333333333333
RESISC45|SUN397|SVHN,3,ties,0.7371647588450112,0.64
Cars|DTD|EuroSAT|GTSRB,4,weight_averaging,0.7559496417220403,0.66525
Cars|DTD|EuroSAT|GTSRB,4,task_arithmetic,0.7879707568839751,0.69575
Cars|DTD|EuroSAT|GTSRB,4,ties,0.6400088487774305,0.55475
Cars|DTD|EuroSAT|MNIST,4,weight_averaging,0.8226248572770007,0.73275
Cars|DTD|EuroSAT|MNIST,4,task_arithmetic,0.8449980457247488,0.753
Cars|DTD|EuroSAT|MNIST,4,ties,0.719965112632619,0.63475
Cars|DTD|EuroSAT|RESISC45,4,weight_averaging,0.8028017298827537,0.7065
Cars|DTD|EuroSAT|RESISC45,4,task_arithmetic,0.8255608462800189,0.72725
Cars|DTD|EuroSAT|RESISC45,4,ties,0.7111477223704425,0.62025
Cars|DTD|EuroSAT|SUN397,4,weight_averaging,0.8380612077129517,0.68425
Cars|DTD|EuroSAT|SUN397,4,task_arithmetic,0.8530686764866049,0.69725
Cars|DTD|EuroSAT|SUN397,4,ties,0.7528465628609022,0.6055
Cars|DTD|EuroSAT|SVHN,4,weight_averaging,0.7737526980166021,0.67975
Cars|DTD|EuroSAT|SVHN,4,task_arithmetic,0.7984505419892551,0.703
Cars|DTD|EuroSAT|SVHN,4,ties,0.6542565797609418,0.56675
Cars|DTD|GTSRB|MNIST,4,weight_averaging,0.7880145841111905,0.6975
Cars|DTD|GTSRB|MNIST,4,task_arithmetic,0.8154575091250676,0.7235
Cars|DTD|GTSRB|MNIST,4,ties,0.6853009550467131,0.5995
Cars|DTD|GTSRB|RESISC45,4,weight_averaging,0.7502244467906868,0.65325
Cars|DTD|GTSRB|RESISC45,4,task_arithmetic,0.7830783993048371,0.6835
Cars|DTD|GTSRB|RESISC45,4,ties,0.6638324066237175,0.57175
Cars|DTD|GTSRB|SUN397,4,weight_averaging,0.7971537228135044,0.642
Cars|DTD|GTSRB|SUN397,4,task_arithmetic,0.8178400387695874,0.6625000000000001
Cars|DTD|GTSRB|SUN397,4,ties,0.71260332295073,0.56375
Cars|DTD|GTSRB|SVHN,4,weight_averaging,0.7797003778658775,0.68475
Cars|DTD|GTSRB|SVHN,4,task_arithmetic,0.8098365922449031,0.714
Cars|DTD|GTSRB|SVHN,4,ties,0.6454042399617215,0.55675
Cars|DTD|MNIST|RESISC45,4,weight_averaging,0.8097730054838731,0.71375
Cars|DTD|MNIST|RESISC45,4,task_arithmetic,0.8314113697259845,0.733
Cars|DTD|MNIST|RESISC45,4,ties,0.736663130335689,0.64575
Cars|DTD|MNIST|SUN397,4,weight_averaging,0.8526835980727457,0.69875
Cars|DTD|MNIST|SUN397,4,task_arithmetic,0.8665547658410435,0.711
Cars|DTD|MNIST|SUN397,4,ties,0.786414981191278,0.639
Cars|DTD|MNIST|SVHN,4,weight_averaging,0.8315061866112784,0.7375
Cars|DTD|MNIST|SVHN,4,task_arithmetic,0.8525186734784449,0.757
Cars|DTD|MNIST|SVHN,4,ties,0.7323361873165728,0.6447499999999999
Cars|DTD|RESISC45|SUN397,4,weight_averaging,0.8175266458113124,0.6575
Cars|DTD|RESISC45|SUN397,4,task_arithmetic,0.8277115186852508,0.66675
Cars|DTD|RESISC45|SUN397,4,ties,0.7685541630765572,0.615
Cars|DTD|RESISC45|SVHN,4,weight_averaging,0.7651835957073132,0.66525
Cars|DTD|RESISC45|SVHN,4,task_arithmetic,0.7966528915508992,0.69425
Cars|DTD|RESISC45|SVHN,4,ties,0.675069427430998,0.58175
Cars|DTD|SUN397|SVHN,4,weight_averaging,0.8114755098661754,0.653
Cars|DTD|SUN397|SVHN,4,task_arithmetic,0.8405361983124264,0.67925
Cars|DTD|SUN397|SVHN,4,ties,0.7337409406473192,0.58325
Cars|EuroSAT|GTSRB|MNIST,4,weight_averaging,0.7993571893396367,0.7445
Cars|EuroSAT|GTSRB|MNIST,4,task_arithmetic,0.8255690880704079,0.77075
Cars|EuroSAT|GTSRB|MNIST,4,ties,0.6894730554393754,0.63625
Cars|EuroSAT|GTSRB|RESISC45,4,weight_averaging,0.7807700661899177,0.7202500000000001
Cars|EuroSAT|GTSRB|RESISC45,4,task_arithmetic,0.8099036131903571,0.7495
Cars|EuroSAT|GTSRB|RESISC45,4,ties,0.6741917855425171,0.615
Cars|EuroSAT|GTSRB|SUN397,4,weight_averaging,0.8205896920457839,0.7025
Cars|EuroSAT|GTSRB|SUN397,4,task_arithmetic,0.8495536713950498,0.73075
Cars|EuroSAT|GTSRB|SUN397,4,ties,0.7171242422950769,0.6012500000000001
Cars|EuroSAT|GTSRB|SVHN,4,weight_averaging,0.7765465757007111,0.71875
